#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  0.85865  0.003503  0.002279  0.001920     1.537
   0.00408  0.99592  0.00019  0.86372  0.003399  0.002226  0.001988     1.527
   0.01077  0.98925  0.00065  0.87485  0.003186  0.002120  0.002146     1.503
   0.01818  0.98187  0.00132  0.88221  0.003053  0.002048  0.002246     1.490
   0.02634  0.97376  0.00217  0.88945  0.002927  0.001979  0.002346     1.479
   0.03516  0.96499  0.00316  0.89743  0.002794  0.001905  0.002460     1.467
   0.04451  0.95570  0.00422  0.90211  0.002714  0.001857  0.002521     1.462
   0.05416  0.94612  0.00534  0.90720  0.002630  0.001806  0.002590     1.456
   0.06396  0.93638  0.00648  0.90929  0.002588  0.001777  0.002609     1.457
   0.07383  0.92658  0.00766  0.91238  0.002533  0.001740  0.002645     1.456
   0.08374  0.91675  0.00886  0.91404  0.002498  0.001714  0.002657     1.458
   0.09366  0.90690  0.01010  0.91606  0.002458  0.001685  0.002674     1.459
   0.10360  0.89705  0.01138  0.91874  0.002410  0.001652  0.002703     1.459
   0.11355  0.88719  0.01270  0.92151  0.002362  0.001619  0.002733     1.459
   0.12352  0.87731  0.01405  0.92410  0.002316  0.001587  0.002761     1.459
   0.13349  0.86743  0.01543  0.92659  0.002273  0.001557  0.002786     1.460
   0.14349  0.85753  0.01685  0.92979  0.002221  0.001522  0.002825     1.459
   0.15351  0.84762  0.01830  0.93262  0.002174  0.001490  0.002858     1.459
   0.16353  0.83771  0.01978  0.93596  0.002122  0.001455  0.002900     1.458
   0.17357  0.82778  0.02129  0.93935  0.002070  0.001420  0.002944     1.457
   0.18362  0.81785  0.02282  0.94240  0.002022  0.001388  0.002982     1.457
   0.19369  0.80790  0.02438  0.94588  0.001970  0.001353  0.003030     1.456
   0.20377  0.79795  0.02596  0.94926  0.001920  0.001320  0.003076     1.455
   0.21385  0.78799  0.02756  0.95251  0.001872  0.001287  0.003121     1.454
   0.22396  0.77802  0.02919  0.95681  0.001814  0.001250  0.003188     1.451
   0.23407  0.76804  0.03083  0.95997  0.001767  0.001218  0.003234     1.451
   0.24420  0.75805  0.03249  0.96367  0.001716  0.001184  0.003292     1.449
   0.25434  0.74805  0.03417  0.96790  0.001662  0.001149  0.003363     1.447
   0.26449  0.73804  0.03586  0.97130  0.001614  0.001117  0.003419     1.446
   0.27465  0.72802  0.03757  0.97599  0.001557  0.001080  0.003503     1.442
   0.28483  0.71799  0.03928  0.97888  0.001514  0.001050  0.003553     1.442
   0.29502  0.70795  0.04101  0.98336  0.001460  0.001015  0.003637     1.439
   0.30521  0.69791  0.04275  0.98811  0.001405  0.000979  0.003732     1.435
   0.31542  0.68785  0.04449  0.99149  0.001360  0.000948  0.003798     1.434
   0.32564  0.67778  0.04624  0.99604  0.001308  0.000914  0.003893     1.431
   0.33587  0.66770  0.04799  0.99994  0.001261  0.000882  0.003975     1.430
   0.34609  0.65763  0.04974  1.00410  0.001213  0.000849  0.004064     1.428
   0.35632  0.64755  0.05149  1.00800  0.001167  0.000817  0.004145     1.428
   0.36654  0.63748  0.05324  1.01245  0.001120  0.000784  0.004237     1.428
   0.37675  0.62742  0.05498  1.01614  0.001078  0.000753  0.004303     1.431
   0.38695  0.61737  0.05672  1.02103  0.001033  0.000720  0.004386     1.434
   0.39714  0.60733  0.05844  1.02418  0.000999  0.000691  0.004402     1.445
   0.40730  0.59731  0.06015  1.02778  0.000968  0.000662  0.004387     1.462
   0.41745  0.58730  0.06185  1.03116  0.000946  0.000634  0.004295     1.490
   0.42760  0.57730  0.06354  1.03501  0.000933  0.000607  0.004100     1.537
   0.43772  0.56731  0.06521  1.03809  0.000946  0.000583  0.003694     1.622
   0.44784  0.55733  0.06686  1.04146  0.000999  0.000562  0.002993     1.779
