#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00000  1.02799  0.070499  0.013429 -0.000006     5.250
   0.00377  0.99624 -0.00023  1.02856  0.069849  0.013374 -0.000006     5.223
   0.01072  0.98929 -0.00051  1.02985  0.069725  0.013254 -0.000006     5.261
   0.01845  0.98156 -0.00063  1.03125  0.069463  0.013124 -0.000006     5.293
   0.02661  0.97340 -0.00056  1.03269  0.069089  0.012991 -0.000006     5.318
   0.03500  0.96502 -0.00034  1.03414  0.068601  0.012858 -0.000006     5.335
   0.04347  0.95655  0.00000  1.03557  0.068009  0.012728 -0.000006     5.343
   0.05203  0.94800  0.00043  1.03700  0.067340  0.012600 -0.000006     5.344
   0.06063  0.93942  0.00095  1.03841  0.066608  0.012475 -0.000006     5.340
   0.06925  0.93082  0.00154  1.03981  0.065802  0.012352 -0.000006     5.327
   0.07789  0.92221  0.00220  1.04119  0.064946  0.012233 -0.000006     5.309
   0.08653  0.91359  0.00291  1.04256  0.064037  0.012116 -0.000006     5.285
   0.09519  0.90497  0.00369  1.04391  0.063054  0.012003 -0.000006     5.253
   0.10387  0.89633  0.00453  1.04525  0.062043  0.011892 -0.000006     5.217
   0.11256  0.88769  0.00542  1.04657  0.060958  0.011784 -0.000006     5.173
   0.12126  0.87904  0.00635  1.04788  0.059839  0.011679 -0.000006     5.124
   0.12996  0.87039  0.00733  1.04918  0.058691  0.011577 -0.000007     5.070
   0.13869  0.86172  0.00836  1.05047  0.057482  0.011478 -0.000007     5.008
   0.14742  0.85306  0.00942  1.05174  0.056253  0.011381 -0.000007     4.943
   0.15616  0.84438  0.01051  1.05300  0.054991  0.011288 -0.000007     4.872
   0.16492  0.83570  0.01163  1.05425  0.053687  0.011197 -0.000006     4.795
   0.17367  0.82702  0.01278  1.05548  0.052381  0.011109 -0.000006     4.715
   0.18244  0.81833  0.01397  1.05669  0.051023  0.011024 -0.000006     4.628
   0.19123  0.80963  0.01516  1.05789  0.049665  0.010942 -0.000006     4.539
   0.20000  0.80094  0.01639  1.05906  0.048280  0.010864 -0.000006     4.444
   0.20879  0.79224  0.01762  1.06021  0.046886  0.010789 -0.000005     4.346
   0.21759  0.78353  0.01887  1.06133  0.045479  0.010717 -0.000004     4.243
   0.22639  0.77482  0.02015  1.06240  0.044046  0.010651 -0.000004     4.135
   0.23520  0.76611  0.02143  1.06342  0.042616  0.010589 -0.000002     4.025
   0.24400  0.75740  0.02273  1.06438  0.041187  0.010532 -0.000001     3.911
   0.25283  0.74867  0.02403  1.06524  0.039749  0.010482  0.000001     3.792
   0.26165  0.73995  0.02534  1.06597  0.038306  0.010441  0.000003     3.669
   0.27047  0.73122  0.02666  1.06655  0.036888  0.010410  0.000005     3.544
   0.27931  0.72248  0.02798  1.06689  0.035470  0.010391  0.000009     3.413
   0.28815  0.71374  0.02930  1.06699  0.034064  0.010386  0.000012     3.280
   0.29698  0.70501  0.03063  1.06709  0.032686  0.010381  0.000041     3.149
   0.30581  0.69628  0.03194  1.06820  0.031300  0.010326  0.000082     3.031
   0.31463  0.68756  0.03324  1.07053  0.029942  0.010214  0.000121     2.931
